Date,Open,High,Low,Close
2021-03-15,,,,
2021-03-16,,,,
2021-03-17,,,,
2021-03-18,,,,
2021-03-19,,,,
2021-03-22,,,,
2021-03-23,,,,
2021-03-24,,,,
2021-03-25,,,,
2021-03-26,,,,
2021-03-29,,,,
2021-03-30,,,,
2021-03-31,,,,
2021-04-01,,,,
2021-04-05,,,,
2021-04-06,,,,
2021-04-07,,,,
2021-04-08,,,,
2021-04-09,,,,
2021-04-12,,,,
2021-04-13,,,,
2021-04-14,,,,
2021-04-15,,,,
2021-04-16,,,,
2021-04-19,,,,
2021-04-20,,,,
2021-04-21,,,,
2021-04-22,,,,
2021-04-23,,,,
2021-04-26,,,,
2021-04-27,,,,
2021-04-28,,,,
2021-04-29,,,,
2021-04-30,,,,
2021-05-03,,,,
2021-05-04,,,,
2021-05-05,,,,
2021-05-06,,,,
2021-05-07,,,,
2021-05-10,,,,
2021-05-11,,,,
2021-05-12,,,,
2021-05-13,,,,
2021-05-14,,,,
2021-05-17,,,,
2021-05-18,,,,
2021-05-19,,,,
2021-05-20,,,,
2021-05-21,,,,
2021-05-24,,,,
2021-05-25,,,,
2021-05-26,,,,
2021-05-27,,,,
2021-05-28,,,,
2021-06-01,,,,
2021-06-02,,,,
2021-06-03,,,,
2021-06-04,,,,
2021-06-07,,,,
2021-06-08,,,,
2021-06-09,,,,
2021-06-10,,,,
2021-06-11,,,,
2021-06-14,,,,
2021-06-15,,,,
2021-06-16,,,,
2021-06-17,,,,
2021-06-18,,,,
2021-06-21,,,,
2021-06-22,,,,
2021-06-23,,,,
2021-06-24,,,,
2021-06-25,,,,
2021-06-28,,,,
2021-06-29,,,,
2021-06-30,,,,
2021-07-01,,,,
2021-07-02,,,,
2021-07-06,,,,
2021-07-07,,,,
2021-07-08,,,,
2021-07-09,,,,
2021-07-12,,,,
2021-07-13,,,,
2021-07-14,23.78579532032374,23.78579532032374,23.422508239746094,23.422508239746094
2021-07-15,23.307783367345163,23.331685343108003,22.810653999764572,23.078338623046875
2021-07-16,23.24086481105769,23.24086481105769,22.753293991088867,22.753293991088867
2021-07-19,22.59077063223403,22.59077063223403,22.31352554928803,22.424423217773438
2021-07-20,22.466486445549116,22.848894360780402,22.466486445549116,22.80109405517578
2021-07-21,23.059223175048828,23.269547100773863,23.04966274795246,23.059223175048828
2021-07-22,23.154824178548065,23.154824178548065,22.715055465698242,22.715055465698242
2021-07-23,22.93493950326245,22.93493950326245,22.657694410638804,22.695934295654297
2021-07-26,22.705493681146113,22.79153569781502,22.691153952856276,22.753293991088867
2021-07-27,22.80109529250528,22.80109529250528,22.265724182128906,22.265724182128906
2021-07-28,22.581209146557924,22.781972613051376,22.581209146557924,22.7303466796875
2021-07-29,22.915817951535892,22.915817951535892,22.805875778198242,22.805875778198242
2021-07-30,22.896698362836034,22.896698362836034,22.58121157902981,22.602243423461914
2021-08-02,22.8393347413708,22.886179553087445,22.60988998413086,22.60988998413086
2021-08-03,22.74373525145861,22.80109598773886,22.74373525145861,22.78484344482422
2021-08-04,22.791534667283184,22.791534667283184,22.437806189920046,22.51237678527832
2021-08-05,22.56209180145136,22.578344345092773,22.418689042605642,22.578344345092773
2021-08-06,22.85845716564431,23.030541201274648,22.790580505805547,23.003772735595703
2021-08-09,23.11657969566114,23.403385162353516,23.11657969566114,23.403385162353516
2021-08-10,23.651954378796447,23.900520005671225,23.651954378796447,23.716007232666016
2021-08-11,23.680636303720078,23.680636303720078,23.09746301620183,23.30778694152832
2021-08-12,23.22174485579848,23.22174485579848,22.848895523935877,23.00950813293457
2021-08-13,22.915818580408466,22.915818580408466,22.629013061523438,22.629013061523438
2021-08-16,22.629013014856728,22.629013014856728,22.10320229016352,22.165342330932617
2021-08-17,21.950233901170606,21.950233901170606,21.674901667137476,21.8211727142334
2021-08-18,21.806831663683386,21.911994524227094,21.6921102007855,21.7762393951416
2021-08-19,21.520027345264577,21.558267227140938,21.223661422729492,21.223661422729492
2021-08-20,21.390965424461932,21.443546860276456,21.381404997635205,21.415821075439453
2021-08-23,21.74947330130857,21.978918075561523,21.74947330130857,21.978918075561523
2021-08-24,22.093642284607146,22.351766526609993,22.093642284607146,22.334558486938477
2021-08-25,22.294404330612107,22.45597244076606,22.246604020927826,22.437807083129883
2021-08-26,22.437807083129883,22.437807083129883,22.437807083129883,22.437807083129883
2021-08-27,22.399567160211134,22.542969912473698,22.399567160211134,22.5200252532959
2021-08-30,22.571652160086654,22.590771190667123,22.46648928630155,22.511423110961914
2021-08-31,22.485608431766543,22.522892817896643,22.485608431766543,22.497079849243164
2021-09-01,22.667250642628062,22.667250642628062,22.49612393843824,22.54296875
2021-09-02,22.76285346272728,22.82977462322535,22.694976806640625,22.694976806640625
2021-09-03,22.72461340678595,22.72461340678595,22.34602928161621,22.34602928161621
2021-09-07,22.32308578491211,22.342206638321183,22.32308578491211,22.32308578491211
2021-09-08,22.265722430653387,22.265722430653387,21.783886463405672,22.03627586364746
2021-09-09,21.912950784659966,22.055398034444494,21.87375358447348,21.964576721191406
2021-09-10,22.09842361895116,22.09842361895116,21.888099670410156,21.888099670410156
2021-09-13,22.08407943608664,22.189240477422892,21.81639297271331,21.88331413269043
2021-09-14,21.969358141514604,21.969358141514604,21.271463376240344,21.33742904663086
2021-09-15,21.357504734405783,21.59650993347168,21.357504734405783,21.59650993347168
2021-09-16,21.56782679271598,21.56782679271598,21.2714608820087,21.44832420349121
2021-09-17,21.558267360012056,21.558267360012056,21.291538210433025,21.539148330688477
2021-09-20,21.204541798666096,21.22366265244459,20.93685531616211,20.93685531616211
2021-09-21,21.252341393088116,21.28102267278882,21.22844123840332,21.22844123840332
2021-09-22,21.41868807647888,21.61562957483324,21.41868807647888,21.42060089111328
2021-09-23,21.720789476696645,21.720789476696645,21.563047010639135,21.658649444580078
2021-09-24,21.63474933843957,21.63474933843957,21.22844123840332,21.22844123840332
2021-09-27,21.271463844346872,21.653871818428634,21.271463844346872,21.6395320892334
2021-09-28,21.71123410906603,21.71123410906603,21.33838653564453,21.33838653564453
2021-09-29,21.386186724033564,21.386186724033564,21.089818954467773,21.089818954467773
2021-09-30,21.194982213180136,21.194982213180136,21.171082056740715,21.175861358642578
2021-10-01,20.841253691143535,21.252342946238663,20.841253691143535,21.126148223876953
2021-10-04,21.12805788354278,21.12805788354278,20.850811004638672,20.850811004638672
2021-10-05,20.880448719305225,20.936853957866962,20.858461380004883,20.858461380004883
2021-10-06,20.55444970957652,20.59269142150879,20.55444970957652,20.59269142150879
2021-10-07,21.085038087740088,21.362283159072962,21.085038087740088,21.09268569946289
2021-10-08,21.261901714705836,21.30014342078468,21.012380599975586,21.012380599975586
2021-10-11,21.022896020115738,21.23321992813246,20.936854006957795,20.941635131835938
2021-10-12,20.96553580056205,21.042017389306295,20.946414947509766,20.946414947509766
2021-10-13,21.070696789391103,21.070696789391103,20.9177318020821,20.979873657226562
2021-10-14,21.23322022070045,21.42442510223376,21.23322022070045,21.32499885559082
2021-10-15,21.443547063197023,21.453107490114224,21.119455337524414,21.119455337524414
2021-10-18,20.936854043668617,21.146222456462763,20.936854043668617,20.975095748901367
2021-10-19,21.137621473032514,21.175861358642578,20.99326139177851,21.175861358642578
2021-10-20,21.22365820638527,21.41486123372092,21.22365820638527,21.295358657836914
2021-10-21,21.261902215067508,21.261902215067508,20.917734146118164,20.917734146118164
2021-10-22,20.72653120960959,20.74565206321706,20.554447174072266,20.554447174072266
2021-10-25,20.678727626627794,20.707408905029297,20.611806467155784,20.707408905029297
2021-10-26,20.60224577806872,20.63092705610416,20.47318458557129,20.47318458557129
2021-10-27,20.45884570068453,20.45884570068453,20.210280062382832,20.21506118774414
2021-10-28,20.294410611296403,20.57547950744629,20.29154230084069,20.57547950744629
2021-10-29,20.535326320464794,20.56305210523512,20.535326320464794,20.554447174072266
2021-11-01,20.554447174072266,20.554447174072266,20.554447174072266,20.554447174072266
2021-11-02,20.95597861379281,20.95597861379281,20.411046981811523,20.411046981811523
2021-11-03,20.602247237475886,21.16438865661621,20.602247237475886,21.16438865661621
2021-11-04,21.31926092127774,21.462665485323082,21.214099884033203,21.214099884033203
2021-11-05,21.328824133197077,21.395745299311958,21.155784596967166,21.27146339416504
2021-11-08,21.443545905134304,21.443545905134304,21.35750389099121,21.35750389099121
2021-11-09,21.40530355294445,21.500905990600586,21.14717934177717,21.500905990600586
2021-11-10,21.520026774520513,21.520026774520513,21.136661529541016,21.136661529541016
2021-11-11,20.917732505336165,20.95597420931529,20.56400586085331,20.853679656982422
2021-11-12,21.0611377982282,21.124235153198242,20.955974932123166,21.124235153198242
2021-11-15,21.309702160554057,21.309702160554057,20.782934188842773,20.782934188842773
2021-11-16,20.78389136088078,20.78389136088078,20.55540209007007,20.7647705078125
2021-11-17,20.745650534525403,20.783890415457588,20.640487670898438,20.640487670898438
2021-11-18,20.439721908334025,20.439721908334025,20.296319167012072,20.305879592895508
2021-11-19,20.30588046138954,20.401482900848073,20.248519727100362,20.36324119567871
2021-11-22,20.200718026712792,20.27050749901777,20.019075393676758,20.019075393676758
2021-11-23,20.210277923908475,20.219838350154447,19.89479115165087,20.081214904785156
2021-11-24,19.942592061376168,20.10511565067322,19.84698962823707,19.971271514892578
2021-11-26,19.684467793820332,19.96936230411815,19.646226087769524,19.655786514282227
2021-11-29,19.904354252246968,19.904354252246968,19.475101449878135,19.541067123413086
2021-11-30,19.407223007048422,19.407223007048422,18.92921257019043,18.92921257019043
2021-12-01,19.24469941501218,19.24469941501218,18.432083129882812,18.432083129882812
2021-12-02,18.575483322143555,18.575483322143555,18.575483322143555,18.575483322143555
2021-12-03,18.58504400593973,18.58504400593973,18.36515784624145,18.46171760559082
2021-12-06,18.537242476372104,18.910091823257275,18.202636659694942,18.748523712158203
2021-12-07,19.120415295471027,19.397662192518506,19.120415295471027,19.2083683013916
2021-12-08,19.254258429225928,19.607986929401154,19.254258429225928,19.57930564880371
2021-12-09,19.426341958291417,19.426341958291417,19.177776336669922,19.177776336669922
2021-12-10,19.02003426201485,19.08217430114746,18.98179255473481,19.08217430114746
2021-12-13,19.082171759774983,19.082171759774983,18.64144762989767,18.795366287231445
2021-12-14,18.556361118956918,18.900529144780947,18.556361118956918,18.795366287231445
2021-12-15,18.556362832116985,18.881410036856515,18.403399656176603,18.79345703125
2021-12-16,18.862290050441793,19.07261579461985,18.68064741033435,18.685426712036133
2021-12-17,18.881412255890673,18.92921257019043,18.881412255890673,18.92921257019043
2021-12-20,18.575485613471223,18.575485613471223,18.15961704967465,18.2313175201416
2021-12-21,18.470321193184915,18.776247551284595,18.470321193184915,18.714107513427734
2021-12-22,18.738006153954075,18.833608589000406,18.680645422312192,18.800148010253906
2021-12-23,18.986575465228118,19.216020260088666,18.857512426219344,19.09747314453125
2021-12-27,19.12041368341558,19.128061294555664,19.015250824648078,19.128061294555664
2021-12-28,19.302060393750207,19.302060393750207,19.130931854248047,19.130931854248047
2021-12-29,19.082174849016496,19.11946106172455,18.91009263171056,18.954069137573242
2021-12-30,18.97331957235666,19.223602051331873,18.97331957235666,19.031078338623047
2021-12-31,19.0166377290266,19.031078338623047,19.0166377290266,19.031078338623047
2022-01-03,19.175470496071554,19.175470496071554,19.156217575073242,19.156217575073242
2022-01-04,19.22360147011788,19.22360147011788,18.992571920216506,19.00797462463379
2022-01-05,19.27173225095274,19.27173225095274,18.520884896063585,18.593082427978516
2022-01-06,18.51125997634699,18.631587982177734,18.51125997634699,18.631587982177734
2022-01-07,18.520884249361036,18.766354380453,18.520884249361036,18.574790954589844
2022-01-10,18.39093288162597,18.39093288162597,18.183006459149926,18.29467010498047
2022-01-11,18.395743744876714,18.694156646728516,18.395743744876714,18.694156646728516
2022-01-12,18.694156646728516,18.694156646728516,18.694156646728516,18.694156646728516
2022-01-13,18.703786237336036,18.88668532730912,18.626776384093645,18.72592544555664
2022-01-14,18.69415680135591,18.69415680135591,18.19840606475098,18.44387435913086
2022-01-18,18.40537273426302,18.40537273426302,18.00107055783493,18.164716720581055
2022-01-19,18.029947100122058,18.106956946768417,17.886515962383537,18.008769989013672
2022-01-20,18.020322709874687,18.020322709874687,17.80854606628418,17.80854606628418
2022-01-21,17.510129624156793,17.558260085747484,17.2694736440845,17.36284828186035
2022-01-24,17.03844521425252,17.273324966430664,16.67264707293291,17.273324966430664
2022-01-25,17.230970604210007,17.230970604210007,16.937369967072648,17.116418838500977
2022-01-26,17.307978265260953,17.510130250503664,17.009565353393555,17.009565353393555
2022-01-27,16.97587539121544,17.239634543252162,16.788163994691637,16.802602767944336
2022-01-28,16.7015273962323,16.841108322143555,16.653395092783775,16.841108322143555
2022-01-31,16.855549807700946,17.41387176513672,16.855549807700946,17.41387176513672
2022-02-01,17.656445429410052,17.736343383789062,17.656445429410052,17.736343383789062
2022-02-02,17.547673028562215,17.654524351586673,17.547673028562215,17.59676742553711
2022-02-03,17.578476600051342,17.59676742553711,17.578476600051342,17.59676742553711
2022-02-04,17.433120410073407,17.578475731260404,17.288725347996657,17.512054443359375
2022-02-07,17.601579737939556,17.683403732898903,17.59195327758789,17.59195327758789
2022-02-08,17.87593020178908,17.943313598632812,17.87593020178908,17.943313598632812
2022-02-09,18.203220545673492,18.314884185791016,18.14546361706509,18.314884185791016
2022-02-10,18.530513708421445,18.530513708421445,18.263866424560547,18.263866424560547
2022-02-11,18.212847305374638,18.27060423493099,17.924060821533203,17.924060821533203
2022-02-14,18.068456118537604,18.068456118537604,17.769079208374023,17.769079208374023
2022-02-15,18.216697871911656,18.27060458533941,18.1262113406494,18.23787498474121
2022-02-16,18.23787498474121,18.23787498474121,18.23787498474121,18.23787498474121
2022-02-17,18.212847479574855,18.212847479574855,18.126211166381836,18.126211166381836
2022-02-18,18.174337487416164,18.174337487416164,17.74308204650879,17.74308204650879
2022-02-22,17.77003762088787,17.8085434610311,17.57366371154785,17.57366371154785
2022-02-23,17.563074968488085,17.563074968488085,17.39269048340155,17.45237159729004
2022-02-24,16.643769637607477,17.394615173339844,16.643769637607477,17.394615173339844
2022-02-25,17.741162816789824,17.79410743713379,17.731536355267306,17.79410743713379
2022-02-28,17.74116109524979,18.049200489840192,17.74116109524979,17.99625587463379
2022-03-01,18.109846125921464,18.109846125921464,17.747900009155273,17.747900009155273
2022-03-02,17.85763895262279,17.991443634033203,17.85763895262279,17.991443634033203
2022-03-03,18.09733287389399,18.09733287389399,18.00107192993164,18.00107192993164
2022-03-04,17.91443637155696,17.95005226135254,17.74116372737775,17.95005226135254
2022-03-07,17.9529390429184,18.386120621018367,17.9529390429184,18.06845474243164
2022-03-08,17.686290703910736,17.86630166373732,17.618907314897502,17.741161346435547
